XTSE/WAV_B,Breaker Energy Ltd. (WAV.B) Adjusted Stock Prices
XTSE/CYN,Cygnal Technologies Corp (CYN) Adjusted Stock Prices
XTSE/EIT_WT_E,Canoe EIT Income Fund (EIT.WT.E) Adjusted Stock Prices
XTSE/NXY_PR_U,Nexen Inc. (NXY.PR.U) Adjusted Stock Prices
XTSE/GWI,Genesis Worlwide Inc Cda
XTSE/PBO,Barclays Bank PLC (PBO) Adjusted Stock Prices
XTSE/CLK,ClubLink Enterprises Ltd (CLK) Adjusted Stock Prices
XTSE/CTF_WT,Citadel Income Fund (CTF.WT) Adjusted Stock Prices
XTSE/WGR,Witwatersrand Consolidated Gold Resources Ltd (WGR) Adjusted Stock Prices
XTSE/DDS,Labopharm Inc. (DDS) Adjusted Stock Prices
XTSE/MSF,Medcomsoft Inc. (MSF) Adjusted Stock Prices
XTSE/PIX,Peer 1 Network Corp (PIX) Adjusted Stock Prices
XTSE/HNT_WT,Huntingdon Capital Corp (HNT.WT) Adjusted Stock Prices
XTSE/YNG_WT,Veris Gold Corp (YNG.WT) Adjusted Stock Prices
XTSE/PRY_B,Peerless Energy Inc. (PRY.B) Adjusted Stock Prices
XTSE/AND,Andean Resources Ltd. (AND) Adjusted Stock Prices
XTSE/PNY,Point North Energy Ltd. (PNY) Adjusted Stock Prices
XTSE/IAU,Intrepid Mines Ltd (IAU) Adjusted Stock Prices
XTSE/AED,Atlas Energy Ltd. (AED) Adjusted Stock Prices
XTSE/SNP_U,Snp Split Corp. (SNP.U) Adjusted Stock Prices
XTSE/SCI_WT,SCITI ROCS Trust. (SCI.WT) Adjusted Stock Prices
XTSE/NOM_RT,Norsemont Mining Inc. (NOM.RT) Adjusted Stock Prices
XTSE/HZB,Horizons ETFs Management (Canada) Inc (HZB) Adjusted Stock Prices
XTSE/GO_B,Guide Exploration Ltd (GO.B) Adjusted Stock Prices
XTSE/MXL,Monterey Exploration Ltd (MXL) Adjusted Stock Prices
XTSE/NQL,"NQL Energy Services, Inc. (NQL) Adjusted Stock Prices"
XTSE/VTN,Vitran Corp. Inc. (VTN) Adjusted Stock Prices
XTSE/ARA,"Art Advanced Research Technologies, Inc. (ARA) Adjusted Stock Prices"
XTSE/AAV_DB_D,Advantage Oil & Gas Ltd. (AAV.DB.D) Adjusted Stock Prices
XTSE/GNY,Gentry Resources Ltd. (GNY) Adjusted Stock Prices
XTSE/OGN_WT,OLeary Global Infrastructure Fund (OGN.WT) Adjusted Stock Prices
XTSE/AMB,Americas Bullion Royalty Corp (AMB) Adjusted Stock Prices
XTSE/CEN,Coastal Energy Company
XTSE/PRW_RT,Petrowest Energy Services Trust (PRW.RT) Adjusted Stock Prices
XTSE/SKR_WT,Skye Resources Inc. (SKR.WT) Adjusted Stock Prices
XTSE/CNE_DB_E,Canetic Resources Trust (CNE.DB.E) Adjusted Stock Prices
XTSE/MNY,Mindready Solutions Inc. (MNY) Adjusted Stock Prices
XTSE/CM_PR_B,Canadian Imperial Bank Of Commerce (CM.PR.B) Adjusted Stock Prices
XTSE/VG_WT,Veris Gold Corp (VG.WT) Adjusted Stock Prices
XTSE/IVA,Inova Resources Limited (IVA) Adjusted Stock Prices
XTSE/CZZ,Canadian Royalties Inc. (CZZ) Adjusted Stock Prices
XTSE/CZZ_DB,Canadian Royalties Inc. (CZZ.DB) Adjusted Stock Prices
XTSE/MSP_WT,Canadian Shield Fund (MSP.WT) Adjusted Stock Prices
XTSE/TZT,Tranzeo Wireless Technologies Inc. (TZT) Adjusted Stock Prices
XTSE/PEF,Petroflow Energy Ltd (PEF) Adjusted Stock Prices
XTSE/MAI,Minera Andes Inc. (MAI) Adjusted Stock Prices
XTSE/PLG_WT,Pilot Gold Inc (PLG.WT) Adjusted Stock Prices
XTSE/HMZ,HMZ Metals Inc (HMZ) Adjusted Stock Prices
XTSE/TCM_WT,Thompson Creek Metals Company Inc (TCM.WT) Adjusted Stock Prices
XTSE/PWT_DB_D,Penn West Energy Trust (PWT.DB.D) Adjusted Stock Prices
XTSE/ZL,Zarlink Semiconductor Inc (ZL) Adjusted Stock Prices
XTSE/CSN,Cognos Inc (CSN) Adjusted Stock Prices
XTSE/EDV_WT_C,Endeavour Mining Corp (EDV.WT.C) Adjusted Stock Prices
XTSE/DCC_PR_A,Diversified Canadian Financial II (DCC.PR.A) Adjusted Stock Prices
XTSE/DPF_WT,DPF India Opportunities Fund (DPF.WT) Adjusted Stock Prices
XTSE/HDG_WT,High Desert Gold Corp (HDG.WT) Adjusted Stock Prices
XTSE/AOG_WT_A,Aston Hill Advantage Oil & Gas Income Fund (AOG.WT.A) Adjusted Stock Prices
XTSE/VHL_A,Viceroy Homes Ltd. (VHL.A) Adjusted Stock Prices
XTSE/TBP_WT,T. Boone Pickens Energy Fund (TBP.WT) Adjusted Stock Prices
XTSE/MDG,Medicago Inc (MDG) Adjusted Stock Prices
XTSE/AAK,Arawak Energy Ltd (AAK) Adjusted Stock Prices
XTSE/BNC_WT,Telesta Therapeutics Inc (BNC.WT) Adjusted Stock Prices
XTSE/SST,Barclays Bank PLC (SST) Adjusted Stock Prices
XTSE/DML_WT_A,Denison Mines Corp (DML.WT.A) Adjusted Stock Prices
XTSE/CDX,"Canadex Resources, Ltd. (CDX) Adjusted Stock Prices"
XTSE/SNH_U,Snp Health Split Corp (SNH.U) Adjusted Stock Prices
XTSE/MNG,Meridian Gold Inc (MNG) Adjusted Stock Prices
XTSE/PWC_WT,PWC Capital Inc (PWC.WT) Adjusted Stock Prices
XTSE/BUC,Bucking Horse Energy Inc (BUC) Adjusted Stock Prices
XTSE/BES,Bestar Inc. (BES) Adjusted Stock Prices
XTSE/CUX,Copper Mesa Mining Corp (CUX) Adjusted Stock Prices
XTSE/EET,"Etruscan Resources, Inc. (EET) Adjusted Stock Prices"
XTSE/RXM,Rockex Mining Corporation (RXM) Adjusted Stock Prices
XTSE/GMF_WT,GMIncome & Growth Fund (GMF.WT) Adjusted Stock Prices
XTSE/FRA,Franconia Minerals Corp (FRA) Adjusted Stock Prices
XTSE/K_WT_A,Kinross Gold Corp. (K.WT.A) Adjusted Stock Prices
XTSE/CDS,Barrick Energy Inc (CDS) Adjusted Stock Prices
XTSE/BEZ,Besra Gold Inc (BEZ) Adjusted Stock Prices
XTSE/MUN,Mundoro Capital Inc (MUN) Adjusted Stock Prices
XTSE/EXA,ExAlta Energy Inc (EXA) Adjusted Stock Prices
XTSE/KOM,Komunik Corp (KOM) Adjusted Stock Prices
XTSE/BCA_PR_B,Brascade Corp. (BCA.PR.B) Adjusted Stock Prices
XTSE/JAG_WT,Jaguar Mining Inc (JAG.WT) Adjusted Stock Prices
XTSE/EWP_WT,First Asset Pipes & Power Income Fund (EWP.WT) Adjusted Stock Prices
XTSE/ANX_RT,Anaconda Mining Inc (ANX.RT) Adjusted Stock Prices
XTSE/AB,"Asbestos Corp., Ltd. (AB) Adjusted Stock Prices"
XTSE/DDD,Dragon Pharmaceuticals Inc (DDD) Adjusted Stock Prices
XTSE/TAH,Tahera Diamond Corp. (TAH) Adjusted Stock Prices
XTSE/RY_NT_C,Royal Bank Of Canada (RY.NT.C) Adjusted Stock Prices
XTSE/FNV_WT_B,Franco-Nevada Corporation (FNV.WT.B) Adjusted Stock Prices
XTSE/GD_WT,Distinction Group Inc (GD.WT) Adjusted Stock Prices
XTSE/YCM_X,Commerce Split Corp. (YCM.X) Adjusted Stock Prices
XTSE/BGO,Bema Gold Corp. (BGO) Adjusted Stock Prices
XTSE/CCJ,Melior Resources Inc (CCJ) Adjusted Stock Prices
XTSE/CUV,Curis Resources Ltd (CUV) Adjusted Stock Prices
XTSE/AXA,DealNet Capital Corp (AXA) Adjusted Stock Prices
XTSE/NRF_WT,North American REIT Income Fund (NRF.WT) Adjusted Stock Prices
XTSE/FRE_WT,Front Street Resource Performance Fund Ltd (FRE.WT) Adjusted Stock Prices
XTSE/SGB,Stratos Global Corp. (SGB) Adjusted Stock Prices
